#type,size,gDim,bDim,time,bw in GB/s
Copy_register->shared,32000,  60,   2,2.39228e-056,80.26
Copy_register->shared,40000,  60,   2,3.55963e-056,67.42
Copy_register->shared,48000,  60,   2,5.13831e-056,56.05
Copy_register->shared,1000,   1,   3,1.60108e-056,0.06246
Copy_register->shared,8000,   1,   3,4.5431e-056,0.1761
Copy_register->shared,16000,   1,   3,4.53979e-056,0.3524
Copy_register->shared,24000,   1,   3,4.54459e-056,0.5281
Copy_register->shared,32000,   1,   3,4.53941e-056,0.7049
Copy_register->shared,40000,   1,   3,4.54073e-056,0.8809
Copy_register->shared,48000,   1,   3,4.54322e-056,1.057
Copy_register->shared,1000,   2,   3,8.73407e-066,0.229
Copy_register->shared,8000,   2,   3,4.54354e-056,0.3521
Copy_register->shared,16000,   2,   3,4.61035e-056,0.6941
Copy_register->shared,24000,   2,   3,4.54248e-056,1.057
Copy_register->shared,32000,   2,   3,4.54335e-056,1.409
Copy_register->shared,40000,   2,   3,4.54236e-056,1.761
Copy_register->shared,48000,   2,   3,4.54218e-056,2.114
Copy_register->shared,1000,   3,   3,6.34263e-066,0.473
Copy_register->shared,8000,   3,   3,3.97927e-056,0.6031
Copy_register->shared,16000,   3,   3,4.57157e-056,1.05
Copy_register->shared,24000,   3,   3,4.54079e-056,1.586
Copy_register->shared,32000,   3,   3,4.54327e-056,2.113
Copy_register->shared,40000,   3,   3,4.54321e-056,2.641
Copy_register->shared,48000,   3,   3,4.54339e-056,3.169
Copy_register->shared,1000,   4,   3,5.16831e-066,0.7739
Copy_register->shared,8000,   4,   3,3.0151e-056,1.061
Copy_register->shared,16000,   4,   3,4.62088e-056,1.385
Copy_register->shared,24000,   4,   3,4.54998e-056,2.11
Copy_register->shared,32000,   4,   3,4.54333e-056,2.817
Copy_register->shared,40000,   4,   3,4.54097e-056,3.523
Copy_register->shared,48000,   4,   3,4.57389e-056,4.198
Copy_register->shared,1000,   5,   3,4.47525e-066,1.117
Copy_register->shared,8000,   5,   3,2.45067e-056,1.632
Copy_register->shared,16000,   5,   3,4.63793e-056,1.725
Copy_register->shared,24000,   5,   3,4.54006e-056,2.643
Copy_register->shared,32000,   5,   3,4.53731e-056,3.526
Copy_register->shared,40000,   5,   3,4.54032e-056,4.405
Copy_register->shared,48000,   5,   3,4.54006e-056,5.286
Copy_register->shared,1000,  10,   3,3.09769e-066,3.228
Copy_register->shared,8000,  10,   3,1.30118e-056,6.148
Copy_register->shared,16000,  10,   3,2.44812e-056,6.536
Copy_register->shared,24000,  10,   3,3.58453e-056,6.695
Copy_register->shared,32000,  10,   3,4.54138e-056,7.046
Copy_register->shared,40000,  10,   3,4.54292e-056,8.805
Copy_register->shared,48000,  10,   3,4.66161e-056,10.3
Copy_register->shared,1000,  20,   3,2.70471e-066,7.395
Copy_register->shared,8000,  20,   3,7.321e-066,21.85
Copy_register->shared,16000,  20,   3,1.30096e-056,24.6
Copy_register->shared,24000,  20,   3,1.86226e-056,25.78
Copy_register->shared,32000,  20,   3,2.43991e-056,26.23
Copy_register->shared,40000,  20,   3,3.00854e-056,26.59
Copy_register->shared,48000,  20,   3,3.57382e-056,26.86
Copy_register->shared,1000,  30,   3,2.76628e-066,10.84
Copy_register->shared,8000,  30,   3,5.45928e-066,43.96
Copy_register->shared,16000,  30,   3,9.21534e-066,52.09
Copy_register->shared,24000,  30,   3,1.29593e-056,55.56
Copy_register->shared,32000,  30,   3,1.67256e-056,57.4
Copy_register->shared,40000,  30,   3,3.82287e-056,31.39
Copy_register->shared,48000,  30,   3,4.56519e-056,31.54
Copy_register->shared,1000,  40,   3,2.66512e-066,15.01
Copy_register->shared,8000,  40,   3,4.4157e-066,72.47
Copy_register->shared,16000,  40,   3,7.32257e-066,87.4
Copy_register->shared,24000,  40,   3,1.00318e-056,95.7
Copy_register->shared,32000,  40,   3,2.34514e-056,54.58
Copy_register->shared,40000,  40,   3,2.94826e-056,54.27
Copy_register->shared,48000,  40,   3,3.50482e-056,54.78
Copy_register->shared,1000,  50,   3,2.79481e-066,17.89
Copy_register->shared,8000,  50,   3,4.57839e-066,87.37
Copy_register->shared,16000,  50,   3,7.06028e-066,113.3
Copy_register->shared,24000,  50,   3,9.6346e-066,124.6
Copy_register->shared,32000,  50,   3,2.27474e-056,70.34
Copy_register->shared,40000,  50,   3,2.79158e-056,71.64
Copy_register->shared,48000,  50,   3,3.31384e-056,72.42
Copy_register->shared,1000,  60,   3,2.88575e-066,20.79
Copy_register->shared,8000,  60,   3,4.16558e-066,115.2
Copy_register->shared,16000,  60,   3,6.32757e-066,151.7
Copy_register->shared,24000,  60,   3,1.45337e-056,99.08
Copy_register->shared,32000,  60,   3,1.91908e-056, 100
Copy_register->shared,40000,  60,   3,2.86682e-056,83.72
Copy_register->shared,48000,  60,   3,3.34252e-056,86.16
Copy_register->shared,1000,   1,   5,1.16479e-056,0.08585
Copy_register->shared,8000,   1,   5,5.2199e-056,0.1533
Copy_register->shared,16000,   1,   5,4.70407e-056,0.3401
Copy_register->shared,24000,   1,   5,4.63821e-056,0.5174
Copy_register->shared,32000,   1,   5,4.63679e-056,0.6901
