#type,size,gDim,bDim,stride,modulo,clock
Shared_memory_bank_conflict_test, 512,   1,   8,  20,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  21,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  22,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  23,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  24,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  25,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  26,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  27,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  28,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  29,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  30,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  31,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  32,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  33,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  34,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  35,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  36,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  37,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  38,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  39,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  40,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  41,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  42,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  43,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  44,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  45,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  46,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  47,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  48,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  49,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  50,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  51,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  52,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  53,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  54,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  55,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  56,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  57,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  58,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  59,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  60,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  61,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  62,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  63,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,  64,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,   1,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   2,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   3,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   4,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   5,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   6,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   7,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   8,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,   9,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  10,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  11,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  12,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  13,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  14,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  15,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  16,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  17,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  16,  18,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  16,  19,32768, 108
