#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->register,32000,   2,   3,1.45383e-056,4.402
Copy_shared->register,40000,   2,   3,1.46052e-056,5.477
Copy_shared->register,48000,   2,   3,1.45065e-056,6.618
Copy_shared->register,1000,   3,   3,3.56083e-066,0.8425
Copy_shared->register,8000,   3,   3,1.2949e-056,1.853
Copy_shared->register,16000,   3,   3,1.45116e-056,3.308
Copy_shared->register,24000,   3,   3,1.46114e-056,4.928
Copy_shared->register,32000,   3,   3,1.45639e-056,6.592
Copy_shared->register,40000,   3,   3,1.45679e-056,8.237
Copy_shared->register,48000,   3,   3,1.46013e-056,9.862
Copy_shared->register,1000,   4,   3,3.2012e-066,1.25
Copy_shared->register,8000,   4,   3,1.03021e-056,3.106
Copy_shared->register,16000,   4,   3,1.46093e-056,4.381
Copy_shared->register,24000,   4,   3,1.4511e-056,6.616
Copy_shared->register,32000,   4,   3,1.45302e-056,8.809
Copy_shared->register,40000,   4,   3,1.46674e-056,10.91
Copy_shared->register,48000,   4,   3,1.46175e-056,13.13
Copy_shared->register,1000,   5,   3,2.98646e-066,1.674
Copy_shared->register,8000,   5,   3,8.67761e-066,4.61
Copy_shared->register,16000,   5,   3,1.45825e-056,5.486
Copy_shared->register,24000,   5,   3,1.45113e-056,8.269
Copy_shared->register,32000,   5,   3,1.45695e-056,10.98
Copy_shared->register,40000,   5,   3,1.45812e-056,13.72
Copy_shared->register,48000,   5,   3,1.45491e-056,16.5
Copy_shared->register,1000,  10,   3,2.6891e-066,3.719
Copy_shared->register,8000,  10,   3,5.37544e-066,14.88
Copy_shared->register,16000,  10,   3,8.78586e-066,18.21
Copy_shared->register,24000,  10,   3,1.1854e-056,20.25
Copy_shared->register,32000,  10,   3,1.47983e-056,21.62
Copy_shared->register,40000,  10,   3,1.46165e-056,27.37
Copy_shared->register,48000,  10,   3,1.46131e-056,32.85
Copy_shared->register,1000,  20,   3,2.68137e-066,7.459
Copy_shared->register,8000,  20,   3,3.79465e-066,42.16
Copy_shared->register,16000,  20,   3,5.3764e-066,59.52
Copy_shared->register,24000,  20,   3,7.03719e-066,68.21
Copy_shared->register,32000,  20,   3,8.72081e-066,73.39
Copy_shared->register,40000,  20,   3,1.02835e-056,77.79
Copy_shared->register,48000,  20,   3,1.19447e-056,80.37
Copy_shared->register,1000,  30,   3,2.87235e-066,10.44
Copy_shared->register,8000,  30,   3,3.30577e-066,72.6
Copy_shared->register,16000,  30,   3,4.32269e-066, 111
Copy_shared->register,24000,  30,   3,5.43681e-066,132.4
Copy_shared->register,32000,  30,   3,6.52424e-066,147.1
Copy_shared->register,40000,  30,   3,1.30871e-056,91.69
Copy_shared->register,48000,  30,   3,1.52128e-056,94.66
Copy_shared->register,1000,  40,   3,2.79701e-066,14.3
Copy_shared->register,8000,  40,   3,3.1021e-066,103.2
Copy_shared->register,16000,  40,   3,3.78733e-066, 169
Copy_shared->register,24000,  40,   3,4.62797e-066,207.4
Copy_shared->register,32000,  40,   3,8.70664e-066, 147
Copy_shared->register,40000,  40,   3,1.04123e-056,153.7
Copy_shared->register,48000,  40,   3,1.20312e-056,159.6
Copy_shared->register,1000,  50,   3,2.68801e-066,18.6
Copy_shared->register,8000,  50,   3,2.83148e-066,141.3
Copy_shared->register,16000,  50,   3,3.48742e-066,229.4
Copy_shared->register,24000,  50,   3,4.11718e-066,291.5
Copy_shared->register,32000,  50,   3,7.57299e-066,211.3
Copy_shared->register,40000,  50,   3,8.76074e-066,228.3
Copy_shared->register,48000,  50,   3,1.01289e-056,236.9
Copy_shared->register,1000,  60,   3,2.66212e-066,22.54
Copy_shared->register,8000,  60,   3,2.79426e-066,171.8
Copy_shared->register,16000,  60,   3,3.73343e-066,257.1
Copy_shared->register,24000,  60,   3,5.3736e-066, 268
Copy_shared->register,32000,  60,   3,6.60385e-066,290.7
Copy_shared->register,40000,  60,   3,1.06349e-056,225.7
Copy_shared->register,48000,  60,   3,1.21712e-056,236.6
Copy_shared->register,1000,   1,   5,4.62435e-066,0.2162
Copy_shared->register,8000,   1,   5,1.45148e-056,0.5512
Copy_shared->register,16000,   1,   5,1.44934e-056,1.104
Copy_shared->register,24000,   1,   5,1.45973e-056,1.644
Copy_shared->register,32000,   1,   5,1.51272e-056,2.115
Copy_shared->register,40000,   1,   5,1.45968e-056,2.74
Copy_shared->register,48000,   1,   5,1.4562e-056,3.296
Copy_shared->register,1000,   2,   5,3.38111e-066,0.5915
Copy_shared->register,8000,   2,   5,1.1805e-056,1.355
Copy_shared->register,16000,   2,   5,1.45223e-056,2.204
Copy_shared->register,24000,   2,   5,1.46377e-056,3.279
Copy_shared->register,32000,   2,   5,1.45673e-056,4.393
Copy_shared->register,40000,   2,   5,1.45969e-056,5.481
Copy_shared->register,48000,   2,   5,1.45997e-056,6.575
Copy_shared->register,1000,   3,   5,3.01824e-066,0.994
Copy_shared->register,8000,   3,   5,8.686e-066,2.763
Copy_shared->register,16000,   3,   5,1.45129e-056,3.307
Copy_shared->register,24000,   3,   5,1.45666e-056,4.943
Copy_shared->register,32000,   3,   5,1.4551e-056,6.597
Copy_shared->register,40000,   3,   5,1.45656e-056,8.239
Copy_shared->register,48000,   3,   5,1.45077e-056,9.926
Copy_shared->register,1000,   4,   5,2.80431e-066,1.426
Copy_shared->register,8000,   4,   5,7.09452e-066,4.511
Copy_shared->register,16000,   4,   5,1.18906e-056,5.382
Copy_shared->register,24000,   4,   5,1.45193e-056,6.612
Copy_shared->register,32000,   4,   5,1.45499e-056,8.797
Copy_shared->register,40000,   4,   5,1.45137e-056,11.02
Copy_shared->register,48000,   4,   5,1.45672e-056,13.18
Copy_shared->register,1000,   5,   5,2.83914e-066,1.761
Copy_shared->register,8000,   5,   5,5.98938e-066,6.678
Copy_shared->register,16000,   5,   5,9.90315e-066,8.078
Copy_shared->register,24000,   5,   5,1.39927e-056,8.576
Copy_shared->register,32000,   5,   5,1.45307e-056,11.01
Copy_shared->register,40000,   5,   5,1.45073e-056,13.79
Copy_shared->register,48000,   5,   5,1.45251e-056,16.52
Copy_shared->register,1000,  10,   5,2.65506e-066,3.766
Copy_shared->register,8000,  10,   5,4.09891e-066,19.52
Copy_shared->register,16000,  10,   5,6.01805e-066,26.59
Copy_shared->register,24000,  10,   5,7.93251e-066,30.26
Copy_shared->register,32000,  10,   5,9.87506e-066,32.4
Copy_shared->register,40000,  10,   5,1.18725e-056,33.69
Copy_shared->register,48000,  10,   5,1.40543e-056,34.15
