#type        ,size ,stride_offset,gDim,bDim,time(s)    ,bandwidth(GB/s)
global-offset,40001,4            ,20  ,500 ,1.09652e-05,0.455988
global-offset,40001,5            ,20  ,500 ,1.03437e-05,0.483386
global-offset,40001,6            ,20  ,500 ,1.14123e-05,0.438124
global-offset,40001,7            ,20  ,500 ,1.12167e-05,0.445764
global-offset,40001,8            ,20  ,500 ,1.0169e-05 ,0.49169
global-offset,40001,9            ,20  ,500 ,1.40523e-05,0.355814
global-offset,40001,10           ,20  ,500 ,1.13424e-05,0.440824
global-offset,64001,2            ,32  ,500 ,1.18103e-05,0.677375
global-offset,64001,3            ,32  ,500 ,1.16357e-05,0.687539
global-offset,64001,4            ,32  ,500 ,1.14123e-05,0.700998
global-offset,64001,5            ,32  ,500 ,1.03087e-05,0.776044
global-offset,64001,6            ,32  ,500 ,1.10561e-05,0.723582
global-offset,64001,7            ,32  ,500 ,9.8827e-06 ,0.809495
global-offset,64001,8            ,32  ,500 ,1.05183e-05,0.760579
global-offset,64001,9            ,32  ,500 ,9.5545e-06 ,0.837302
global-offset,64001,10           ,32  ,500 ,1.1063e-05 ,0.723131
global-offset,3001 ,2            ,1   ,750 ,1.12237e-05,0.0334114
global-offset,3001 ,3            ,1   ,750 ,1.00363e-05,0.0373644
global-offset,3001 ,4            ,1   ,750 ,1.11818e-05,0.0335366
global-offset,3001 ,5            ,1   ,750 ,1.16706e-05,0.032132
global-offset,3001 ,6            ,1   ,750 ,1.07068e-05,0.0350245
global-offset,3001 ,7            ,1   ,750 ,1.09652e-05,0.0341991
global-offset,3001 ,8            ,1   ,750 ,1.11748e-05,0.0335576
global-offset,3001 ,9            ,1   ,750 ,1.151e-05  ,0.0325804
global-offset,3001 ,10           ,1   ,750 ,1.13354e-05,0.0330822
global-offset,6001 ,2            ,2   ,750 ,1.31303e-05,0.0571198
global-offset,6001 ,3            ,2   ,750 ,1.15449e-05,0.0649638
global-offset,6001 ,4            ,2   ,750 ,8.0039e-06 ,0.0937043
global-offset,6001 ,5            ,2   ,750 ,1.15031e-05,0.0651998
global-offset,6001 ,6            ,2   ,750 ,7.5988e-06 ,0.0986998
global-offset,6001 ,7            ,2   ,750 ,1.06579e-05,0.0703703
global-offset,6001 ,8            ,2   ,750 ,1.13424e-05,0.0661236
global-offset,6001 ,9            ,2   ,750 ,1.32281e-05,0.0566975
global-offset,6001 ,10           ,2   ,750 ,1.03506e-05,0.0724596
global-offset,9001 ,2            ,3   ,750 ,1.1091e-05 ,0.101434
global-offset,9001 ,3            ,3   ,750 ,1.12237e-05,0.100234
global-offset,9001 ,4            ,3   ,750 ,1.08884e-05,0.103321
global-offset,9001 ,5            ,3   ,750 ,1.16427e-05,0.0966271
global-offset,9001 ,6            ,3   ,750 ,1.2844e-05 ,0.0875895
global-offset,9001 ,7            ,3   ,750 ,1.29278e-05,0.0870218
global-offset,9001 ,8            ,3   ,750 ,1.11329e-05,0.101052
global-offset,9001 ,9            ,3   ,750 ,1.15031e-05,0.0977997
global-offset,9001 ,10           ,3   ,750 ,1.09583e-05,0.102662
global-offset,12001,2            ,4   ,750 ,1.14611e-05,0.130877
global-offset,12001,3            ,4   ,750 ,1.1077e-05 ,0.135416
global-offset,12001,4            ,4   ,750 ,1.15938e-05,0.129379
global-offset,12001,5            ,4   ,750 ,1.08884e-05,0.137761
global-offset,12001,6            ,4   ,750 ,1.13704e-05,0.131921
global-offset,12001,7            ,4   ,750 ,8.3182e-06 ,0.180327
global-offset,12001,8            ,4   ,750 ,1.13145e-05,0.132573
global-offset,12001,9            ,4   ,750 ,8.1576e-06 ,0.183878
global-offset,12001,10           ,4   ,750 ,1.15589e-05,0.12977
global-offset,15001,2            ,5   ,750 ,1.13703e-05,0.164903
global-offset,15001,3            ,5   ,750 ,1.0155e-05 ,0.184638
global-offset,15001,4            ,5   ,750 ,1.08256e-05,0.173201
global-offset,15001,5            ,5   ,750 ,1.21666e-05,0.15411
global-offset,15001,6            ,5   ,750 ,1.05741e-05,0.17732
global-offset,15001,7            ,5   ,750 ,1.11538e-05,0.168104
global-offset,15001,8            ,5   ,750 ,1.12098e-05,0.167264
global-offset,15001,9            ,5   ,750 ,1.10491e-05,0.169697
global-offset,15001,10           ,5   ,750 ,1.11748e-05,0.167788
global-offset,30001,2            ,10  ,750 ,1.13075e-05,0.331638
global-offset,30001,3            ,10  ,750 ,1.41292e-05,0.265408
global-offset,30001,4            ,10  ,750 ,9.6662e-06 ,0.38795
global-offset,30001,5            ,10  ,750 ,1.26484e-05,0.29648
global-offset,30001,6            ,10  ,750 ,1.14053e-05,0.328795
global-offset,30001,7            ,10  ,750 ,1.14123e-05,0.328593
global-offset,30001,8            ,10  ,750 ,1.10281e-05,0.34004
global-offset,30001,9            ,10  ,750 ,1.10281e-05,0.34004
global-offset,30001,10           ,10  ,750 ,1.28091e-05,0.292761
global-offset,60001,2            ,20  ,750 ,1.04485e-05,0.717806
global-offset,60001,3            ,20  ,750 ,1.13774e-05,0.659202
global-offset,60001,4            ,20  ,750 ,1.10631e-05,0.677929
global-offset,60001,5            ,20  ,750 ,1.11049e-05,0.675378
global-offset,60001,6            ,20  ,750 ,1.10072e-05,0.681372
global-offset,60001,7            ,20  ,750 ,1.26136e-05,0.594596
global-offset,60001,8            ,20  ,750 ,1.14332e-05,0.655984
global-offset,60001,9            ,20  ,750 ,1.26694e-05,0.591978
global-offset,60001,10           ,20  ,750 ,1.14332e-05,0.655984
global-offset,96001,2            ,32  ,750 ,1.50231e-05,0.79877
global-offset,96001,3            ,32  ,750 ,1.05043e-05,1.14239
global-offset,96001,4            ,32  ,750 ,6.5372e-06 ,1.83565
global-offset,96001,5            ,32  ,750 ,1.05741e-05,1.13485
global-offset,96001,6            ,32  ,750 ,1.12516e-05,1.06651
global-offset,96001,7            ,32  ,750 ,1.14751e-05,1.04574
global-offset,96001,8            ,32  ,750 ,1.14891e-05,1.04447
global-offset,96001,9            ,32  ,750 ,1.107e-05  ,1.08401
global-offset,96001,10           ,32  ,750 ,1.10001e-05,1.0909
