#type        ,size ,stride_offset,gDim,bDim,time(s)    ,bandwidth(GB/s)
global-offset,161  ,8            ,20  ,2   ,1.15589e-05,0.00173027
global-offset,161  ,9            ,20  ,2   ,7.4033e-06 ,0.0027015
global-offset,161  ,10           ,20  ,2   ,1.12795e-05,0.00177313
global-offset,257  ,2            ,32  ,2   ,1.11957e-05,0.00285824
global-offset,257  ,3            ,32  ,2   ,1.14122e-05,0.00280402
global-offset,257  ,4            ,32  ,2   ,1.07069e-05,0.00298873
global-offset,257  ,5            ,32  ,2   ,1.21177e-05,0.00264077
global-offset,257  ,6            ,32  ,2   ,8.4649e-06 ,0.00378032
global-offset,257  ,7            ,32  ,2   ,1.1524e-05 ,0.00277681
global-offset,257  ,8            ,32  ,2   ,1.08536e-05,0.00294833
global-offset,257  ,9            ,32  ,2   ,1.10561e-05,0.00289433
global-offset,257  ,10           ,32  ,2   ,9.324e-06  ,0.003432
global-offset,13   ,2            ,1   ,3   ,1.29487e-05,7.72278e-05
global-offset,13   ,3            ,1   ,3   ,1.49882e-05,6.67192e-05
global-offset,13   ,4            ,1   ,3   ,7.3824e-06 ,0.000135457
global-offset,13   ,5            ,1   ,3   ,1.01062e-05,9.89492e-05
global-offset,13   ,6            ,1   ,3   ,1.14053e-05,8.76785e-05
global-offset,13   ,7            ,1   ,3   ,1.14472e-05,8.73576e-05
global-offset,13   ,8            ,1   ,3   ,1.13005e-05,8.84917e-05
global-offset,13   ,9            ,1   ,3   ,1.13564e-05,8.80561e-05
global-offset,13   ,10           ,1   ,3   ,1.09793e-05,9.10805e-05
global-offset,25   ,2            ,2   ,3   ,6.5024e-06 ,0.000461368
global-offset,25   ,3            ,2   ,3   ,1.05113e-05,0.000285407
global-offset,25   ,4            ,2   ,3   ,1.29767e-05,0.000231184
global-offset,25   ,5            ,2   ,3   ,1.13145e-05,0.000265146
global-offset,25   ,6            ,2   ,3   ,1.39126e-05,0.000215632
global-offset,25   ,7            ,2   ,3   ,9.2053e-06 ,0.000325899
global-offset,25   ,8            ,2   ,3   ,8.7722e-06 ,0.000341989
global-offset,25   ,9            ,2   ,3   ,7.6757e-06 ,0.000390844
global-offset,25   ,10           ,2   ,3   ,1.18522e-05,0.000253118
global-offset,37   ,2            ,3   ,3   ,8.2484e-06 ,0.000484943
global-offset,37   ,3            ,3   ,3   ,1.13564e-05,0.000352224
global-offset,37   ,4            ,3   ,3   ,1.10282e-05,0.000362707
global-offset,37   ,5            ,3   ,3   ,1.14961e-05,0.000347944
global-offset,37   ,6            ,3   ,3   ,7.5849e-06 ,0.000527364
global-offset,37   ,7            ,3   ,3   ,1.01201e-05,0.000395253
global-offset,37   ,8            ,3   ,3   ,1.12447e-05,0.000355723
global-offset,37   ,9            ,3   ,3   ,1.14053e-05,0.000350714
global-offset,37   ,10           ,3   ,3   ,6.8096e-06 ,0.000587406
global-offset,49   ,2            ,4   ,3   ,1.0672e-05 ,0.000562219
global-offset,49   ,3            ,4   ,3   ,1.1091e-05 ,0.000540979
global-offset,49   ,4            ,4   ,3   ,1.09932e-05,0.000545792
global-offset,49   ,5            ,4   ,3   ,1.07347e-05,0.000558935
global-offset,49   ,6            ,4   ,3   ,1.11957e-05,0.00053592
global-offset,49   ,7            ,4   ,3   ,1.14053e-05,0.000526071
global-offset,49   ,8            ,4   ,3   ,1.16567e-05,0.000514725
global-offset,49   ,9            ,4   ,3   ,1.13494e-05,0.000528662
global-offset,49   ,10           ,4   ,3   ,1.43945e-05,0.000416826
global-offset,61   ,2            ,5   ,3   ,1.1971e-05 ,0.000584746
global-offset,61   ,3            ,5   ,3   ,1.12795e-05,0.000620595
global-offset,61   ,4            ,5   ,3   ,1.12027e-05,0.000624849
