# bytes, threads, direction, time(ns)
9216, 288, g2s, 6135
9216, 288, s2g, 12685
9216, 384, g2s, 4268
9216, 384, s2g, 10900
9216, 576, g2s, 4381
9216, 576, s2g, 11267
9216, 768, g2s, 4515
9216, 768, s2g, 11271
10240, 1, g2s, 329453
10240, 1, s2g, 336014
10240, 2, g2s, 188579
10240, 2, s2g, 195317
10240, 4, g2s, 157395
10240, 4, s2g, 163892
10240, 5, g2s, 151147
10240, 5, s2g, 157909
10240, 8, g2s, 141786
10240, 8, s2g, 148222
10240, 10, g2s, 138682
10240, 10, s2g, 145238
10240, 16, g2s, 133990
10240, 16, s2g, 140758
10240, 20, g2s, 132423
10240, 20, s2g, 139234
10240, 32, g2s, 97482
10240, 32, s2g, 103566
10240, 40, g2s, 104505
10240, 40, s2g, 111064
10240, 64, g2s, 41579
10240, 64, s2g, 47618
10240, 80, g2s, 53318
10240, 80, s2g, 60199
10240, 128, g2s, 14313
10240, 128, s2g, 20569
10240, 160, g2s, 15482
10240, 160, s2g, 21495
10240, 256, g2s, 5877
10240, 256, s2g, 12705
10240, 320, g2s, 6234
10240, 320, s2g, 12768
10240, 512, g2s, 4231
10240, 512, s2g, 10609
10240, 640, g2s, 4635
10240, 640, s2g, 11343
11264, 1, g2s, 362208
11264, 1, s2g, 368765
11264, 2, g2s, 207273
11264, 2, s2g, 214085
11264, 4, g2s, 172936
11264, 4, s2g, 179679
11264, 8, g2s, 155786
11264, 8, s2g, 162451
11264, 11, g2s, 151121
11264, 11, s2g, 157875
11264, 16, g2s, 111829
11264, 16, s2g, 117955
11264, 22, g2s, 144874
11264, 22, s2g, 151109
11264, 32, g2s, 89489
11264, 32, s2g, 96183
11264, 44, g2s, 104505
11264, 44, s2g, 111092
11264, 64, g2s, 41182
11264, 64, s2g, 47401
11264, 88, g2s, 53324
11264, 88, s2g, 60208
11264, 128, g2s, 15394
11264, 128, s2g, 21401
11264, 176, g2s, 15618
11264, 176, s2g, 21624
11264, 256, g2s, 6280
11264, 256, s2g, 12717
11264, 352, g2s, 6377
11264, 352, s2g, 12752
11264, 704, g2s, 4938
11264, 704, s2g, 11291
12288, 1, g2s, 394936
12288, 1, s2g, 401556
12288, 2, g2s, 225913
12288, 2, s2g, 232463
12288, 3, g2s, 200936
12288, 3, s2g, 207286
12288, 4, g2s, 188484
12288, 4, s2g, 194948
12288, 6, g2s, 175999
12288, 6, s2g, 182618
12288, 8, g2s, 169752
12288, 8, s2g, 176380
12288, 12, g2s, 163503
12288, 12, s2g, 169790
12288, 16, g2s, 160398
12288, 16, s2g, 166878
