#N_elem,N_iter,N_block,dtype,method,t_tot,t_copy,t_exec,t_backcopy
4096,2000,32,double,cuda_shared,20322681,106230,20195218,17880
4096,2000,64,uint16_t,cuda_naive,20924022,107696,20794675,18229
4096,2000,64,uint16_t,cuda_shared,19463063,103366,19338605,17740
4096,2000,64,uint32_t,cuda_naive,20871850,104624,20745645,18159
4096,2000,64,uint32_t,cuda_shared,19354459,103995,19229651,17390
4096,2000,64,float,cuda_naive,20855507,103855,20730001,18229
4096,2000,64,float,cuda_shared,19349640,104204,19224413,17600
4096,2000,64,double,cuda_naive,23273863,105671,23146470,18299
4096,2000,64,double,cuda_shared,20296350,106020,20169517,17461
4096,2000,128,uint16_t,cuda_naive,26216873,103018,26090668,19765
4096,2000,128,uint16_t,cuda_shared,20464460,103087,20340282,17739
4096,2000,128,uint32_t,cuda_naive,26251585,104275,26125728,18159
4096,2000,128,uint32_t,cuda_shared,20515586,104135,20390777,17251
4096,2000,128,float,cuda_naive,26121259,103925,25995892,18019
4096,2000,128,float,cuda_shared,20655758,133189,20499172,19346
4096,2000,128,double,cuda_naive,26152549,110700,26019499,18927
4096,2000,128,double,cuda_shared,20891545,108395,20761849,17949
4096,2000,256,uint16_t,cuda_naive,29046879,104763,28919836,18857
4096,2000,256,uint16_t,cuda_shared,23516425,103925,23391197,17880
4096,2000,256,uint32_t,cuda_naive,29014192,112306,28880095,18369
4096,2000,256,uint32_t,cuda_shared,23718408,104763,23592762,17461
4096,2000,256,float,cuda_naive,28969145,112237,28835256,18299
4096,2000,256,float,cuda_shared,23613226,104274,23488069,17460
4096,2000,256,double,cuda_naive,29056028,105880,28928427,18368
4096,2000,256,double,cuda_shared,23519288,107138,23390918,17950
4096,2000,512,uint16_t,cuda_naive,34737341,104554,34610996,18369
4096,2000,512,uint16_t,cuda_shared,26306760,104903,26180416,18019
4096,2000,512,uint32_t,cuda_naive,34552329,104903,34425705,18299
4096,2000,512,uint32_t,cuda_shared,26667285,104833,26541360,17670
4096,2000,512,float,cuda_naive,34793704,104623,34666661,18997
4096,2000,512,float,cuda_shared,26321200,105462,26194296,18089
4096,2000,512,double,cuda_naive,34813364,106579,34684925,18508
4096,2000,512,double,cuda_shared,26640789,106719,26512838,17879
4096,2000,1024,uint16_t,cuda_naive,42571008,103436,42445711,18439
4096,2000,1024,uint16_t,cuda_shared,32325588,103367,32201129,17740
