#niter 2000
#N_elem,N_block,dtype,method,t_tot
4096,512,float,cuda_shared,26921046
4096,512,double,cuda_naive,33487555
4096,512,double,cuda_shared,26784429
4096,1024,uint16_t,cuda_naive,41974182
4096,1024,uint16_t,cuda_shared,32765075
4096,1024,uint32_t,cuda_naive,41773517
4096,1024,uint32_t,cuda_shared,32945625
4096,1024,float,cuda_naive,41561327
4096,1024,float,cuda_shared,32821999
4096,1024,double,cuda_naive,41702065
4096,1024,double,cuda_shared,34296853
4096,0,float,thrust,298310
4096,0,float,std,4610
8192,32,uint16_t,cuda_naive,23769904
8192,32,uint16_t,cuda_shared,20877818
8192,32,uint32_t,cuda_naive,23751814
8192,32,uint32_t,cuda_shared,21072896
8192,32,float,cuda_naive,23737496
8192,32,float,cuda_shared,20922030
8192,32,double,cuda_naive,23766552
8192,32,double,cuda_shared,20783247
8192,64,uint16_t,cuda_naive,23777028
8192,64,uint16_t,cuda_shared,20836679
8192,64,uint32_t,cuda_naive,23741128
8192,64,uint32_t,cuda_shared,20903312
8192,64,float,cuda_naive,23723876
8192,64,float,cuda_shared,20816494
8192,64,double,cuda_naive,23791836
8192,64,double,cuda_shared,20723180
8192,128,uint16_t,cuda_naive,26868453
8192,128,uint16_t,cuda_shared,21072896
8192,128,uint32_t,cuda_naive,26816627
8192,128,uint32_t,cuda_shared,21131008
8192,128,float,cuda_naive,26738261
8192,128,float,cuda_shared,21156711
8192,128,double,cuda_naive,26976364
8192,128,double,cuda_shared,23248648
8192,256,uint16_t,cuda_naive,29945419
8192,256,uint16_t,cuda_shared,23787574
8192,256,uint32_t,cuda_naive,29892825
8192,256,uint32_t,cuda_shared,23872018
8192,256,float,cuda_naive,29892685
8192,256,float,cuda_shared,23758450
8192,256,double,cuda_naive,30793271
8192,256,double,cuda_shared,23856302
8192,512,uint16_t,cuda_naive,38112573
8192,512,uint16_t,cuda_shared,28079500
8192,512,uint32_t,cuda_naive,37358174
8192,512,uint32_t,cuda_shared,27912151
8192,512,float,cuda_naive,38159300
8192,512,float,cuda_shared,28330455
8192,512,double,cuda_naive,38779178
8192,512,double,cuda_shared,29780723
8192,1024,uint16_t,cuda_naive,47643040
8192,1024,uint16_t,cuda_shared,35758576
8192,1024,uint32_t,cuda_naive,47631724
8192,1024,uint32_t,cuda_shared,35856779
8192,1024,float,cuda_naive,47515571
8192,1024,float,cuda_shared,35724212
8192,1024,double,cuda_naive,47605183
8192,1024,double,cuda_shared,35956099
8192,0,float,thrust,428641
8192,0,float,std,7962
16384,32,uint16_t,cuda_naive,23807551
16384,32,uint16_t,cuda_shared,20917001
16384,32,uint32_t,cuda_naive,24796630
16384,32,uint32_t,cuda_shared,21061861
16384,32,float,cuda_naive,24542952
16384,32,float,cuda_shared,21015553
16384,32,double,cuda_naive,26750833
16384,32,double,cuda_shared,21850974
16384,64,uint16_t,cuda_naive,23773675
16384,64,uint16_t,cuda_shared,20840940
16384,64,uint32_t,cuda_naive,23779123
16384,64,uint32_t,cuda_shared,21057460
16384,64,float,cuda_naive,23775142
