#N_elem,N_iter,N_block,dtype,method,t_tot,t_copy,t_exec,t_backcopy
1024,2000,256,uint32_t,cuda_shared,20905871,104762,20780017,17740
1024,2000,256,float,cuda_naive,23294932,103435,23169566,18578
1024,2000,256,float,cuda_shared,21019782,103155,20895674,17530
1024,2000,256,float,cuda_optim,23124309,103156,23000131,17531
1024,2000,256,double,cuda_naive,23752392,103505,23626817,18648
1024,2000,256,double,cuda_shared,22750519,103924,22625363,17809
1024,2000,512,uint16_t,cuda_naive,26000025,102946,25875497,18089
1024,2000,512,uint16_t,cuda_shared,22997757,103435,22873509,17391
1024,2000,512,uint32_t,cuda_naive,26153326,103155,26023771,22908
1024,2000,512,uint32_t,cuda_shared,23052233,102527,22928823,17461
1024,2000,512,float,cuda_naive,26005961,102667,25881782,18089
1024,2000,512,float,cuda_shared,23074094,102946,22950405,17460
1024,2000,512,float,cuda_optim,28707212,102108,28582196,19486
1024,2000,512,double,cuda_naive,25979421,103296,25854405,18298
1024,2000,512,double,cuda_shared,23680805,103714,23556068,17600
1024,2000,1,float,thrust,274825,232851,37714,1467
1024,2000,1,float,std::accumulate,201772,232851,37714,1467
1024,2000,1,float,cpu,1896959,232851,37714,1467
1024,2000,1,float,cpu_seq,204355,232851,37714,1467
2048,2000,32,uint16_t,cuda_naive,20893369,105460,20766258,18229
2048,2000,32,uint16_t,cuda_shared,18563115,103575,18438378,17809
2048,2000,32,uint32_t,cuda_naive,20793287,110279,20661357,18298
2048,2000,32,uint32_t,cuda_shared,19172690,103993,19047953,17321
2048,2000,32,float,cuda_naive,20522582,103714,20397636,17809
2048,2000,32,float,cuda_shared,19318379,103365,19193852,17739
2048,2000,32,float,cuda_optim,17761547,103156,17637368,17670
2048,2000,32,double,cuda_naive,21049604,104203,20924239,17810
2048,2000,32,double,cuda_shared,19861954,104692,19736029,17740
2048,2000,64,uint16_t,cuda_naive,20193350,102806,20068893,18298
2048,2000,64,uint16_t,cuda_shared,18352404,103295,18228156,17531
2048,2000,64,uint32_t,cuda_naive,20067216,103365,19942061,18369
2048,2000,64,uint32_t,cuda_shared,18485521,103854,18360854,17461
2048,2000,64,float,cuda_naive,19844493,103085,19719687,18298
2048,2000,64,float,cuda_shared,18919655,104134,18794289,17879
2048,2000,64,float,cuda_optim,18634004,103086,18509756,17739
2048,2000,64,double,cuda_naive,20156963,105251,20029921,18368
2048,2000,64,double,cuda_shared,19683997,104761,19557655,18159
2048,2000,128,uint16_t,cuda_naive,23397668,103226,23272792,18158
2048,2000,128,uint16_t,cuda_shared,20041934,102737,19918175,17740
2048,2000,128,uint32_t,cuda_naive,23492932,103085,23368265,18159
2048,2000,128,uint32_t,cuda_shared,20039420,103365,19915102,17530
2048,2000,128,float,cuda_naive,23348569,103505,23223344,18229
2048,2000,128,float,cuda_shared,20036836,103504,19912239,17740
2048,2000,128,float,cuda_optim,20039908,103016,19916150,17321
2048,2000,128,double,cuda_naive,23571363,104133,23445440,18368
2048,2000,128,double,cuda_shared,19948975,104762,19823121,17740
2048,2000,256,uint16_t,cuda_naive,25938145,102178,25812849,19626
2048,2000,256,uint16_t,cuda_shared,23061801,103015,22937764,17600
2048,2000,256,uint32_t,cuda_naive,25968037,103155,25843371,18158
2048,2000,256,uint32_t,cuda_shared,23325592,103714,23200576,17810
2048,2000,256,float,cuda_naive,25784145,103504,25659059,18159
2048,2000,256,float,cuda_shared,23109642,109023,22979458,17810
2048,2000,256,float,cuda_optim,22959345,103295,22835097,17530
2048,2000,256,double,cuda_naive,26085370,104413,25958748,18717
2048,2000,256,double,cuda_shared,23336836,104762,23210843,17810
2048,2000,512,uint16_t,cuda_naive,29604532,103086,29479796,18159
2048,2000,512,uint16_t,cuda_shared,25858037,102596,25734278,17740
2048,2000,512,uint32_t,cuda_naive,29133802,103365,29008787,18159
2048,2000,512,uint32_t,cuda_shared,26015738,104412,25890374,17600
2048,2000,512,float,cuda_naive,29031974,103575,28906609,18438
2048,2000,512,float,cuda_shared,26147669,103854,26022723,17670
2048,2000,512,float,cuda_optim,28871548,109512,28740526,18089
2048,2000,512,double,cuda_naive,29956324,104972,29829701,18298
2048,2000,512,double,cuda_shared,26025027,104832,25898893,17950
2048,2000,1024,uint16_t,cuda_naive,34678572,103575,34551949,19626
2048,2000,1024,uint16_t,cuda_shared,29624088,103226,29499701,17739
2048,2000,1024,uint32_t,cuda_naive,34914635,110070,34781168,19975
2048,2000,1024,uint32_t,cuda_shared,30158794,103714,30033428,18299
2048,2000,1024,float,cuda_naive,34806032,103505,34680807,18298
2048,2000,1024,float,cuda_shared,29968616,103714,29843600,17879
2048,2000,1024,float,cuda_optim,37629296,104203,37503163,18508
2048,2000,1024,double,cuda_naive,34615366,104692,34488953,18298
2048,2000,1024,double,cuda_shared,31562952,104762,31436749,17949
2048,2000,1,float,thrust,245003,177257,63555,1467
2048,2000,1,float,std::accumulate,400470,177257,63555,1467
2048,2000,1,float,cpu,3612890,177257,63555,1467
2048,2000,1,float,cpu_seq,407454,177257,63555,1467
4096,2000,32,uint16_t,cuda_naive,23274817,105320,23148265,17810
4096,2000,32,uint16_t,cuda_shared,19939966,104342,19814741,17390
4096,2000,32,uint32_t,cuda_naive,23460456,104552,23334811,17600
4096,2000,32,uint32_t,cuda_shared,20076296,104692,19950652,17600
