#method, iters, size, time(ns)
#Threads for eigen: 12
eigen, 1, 293, 2090090
eigen, 1, 294, 2171223
eigen, 1, 295, 2128612
eigen, 1, 296, 2431561
eigen, 1, 297, 2279966
eigen, 1, 298, 2223941
eigen, 1, 299, 2283253
eigen, 1, 300, 2534204
eigen, 1, 301, 3242146
eigen, 1, 302, 3689817
eigen, 1, 303, 2989481
eigen, 1, 304, 2450337
eigen, 1, 305, 2995131
eigen, 1, 306, 2418828
eigen, 1, 307, 2496764
eigen, 1, 308, 2408919
eigen, 1, 309, 2592624
eigen, 1, 310, 2455166
eigen, 1, 311, 2550225
eigen, 1, 312, 2586763
eigen, 1, 313, 2469332
eigen, 1, 314, 2600770
eigen, 1, 315, 2809592
eigen, 1, 316, 2647568
eigen, 1, 317, 10828308
eigen, 1, 318, 2772142
eigen, 1, 319, 2758116
eigen, 1, 320, 2766000
eigen, 1, 321, 2858143
eigen, 1, 322, 3017503
eigen, 1, 323, 2959845
eigen, 1, 324, 2957561
eigen, 1, 325, 2987297
eigen, 1, 326, 3015509
eigen, 1, 327, 3043161
eigen, 1, 328, 3116840
eigen, 1, 329, 3113914
eigen, 1, 330, 10959715
eigen, 1, 331, 3660773
eigen, 1, 332, 3188896
eigen, 1, 333, 3235503
eigen, 1, 334, 3688244
eigen, 1, 335, 3372030
eigen, 1, 336, 2883652
eigen, 1, 337, 2808620
eigen, 1, 338, 2817236
eigen, 1, 339, 2890303
eigen, 1, 340, 3942392
eigen, 1, 341, 2951599
eigen, 1, 342, 11680541
eigen, 1, 343, 3154962
eigen, 1, 344, 3067036
eigen, 1, 345, 3053521
eigen, 1, 346, 3048261
eigen, 1, 347, 3763716
eigen, 1, 348, 5773716
eigen, 1, 349, 3183906
eigen, 1, 350, 3183735
eigen, 1, 351, 3514357
eigen, 1, 352, 3369535
eigen, 1, 353, 11225035
eigen, 1, 354, 3528865
eigen, 1, 355, 3411324
eigen, 1, 356, 3342274
eigen, 1, 357, 4015790
eigen, 1, 358, 3477939
eigen, 1, 359, 3507716
eigen, 1, 360, 3496754
eigen, 1, 361, 3579269
eigen, 1, 362, 3644181
eigen, 1, 363, 3752886
eigen, 1, 364, 10938556
eigen, 1, 365, 3855639
eigen, 1, 366, 3695989
eigen, 1, 367, 3814341
eigen, 1, 368, 3808571
eigen, 1, 369, 3861069
eigen, 1, 370, 3851240
eigen, 1, 371, 3892949
eigen, 1, 372, 4014728
eigen, 1, 373, 3996634
eigen, 1, 374, 10972590
eigen, 1, 375, 4296417
eigen, 1, 376, 4084980
eigen, 1, 377, 4145344
eigen, 1, 378, 4092244
eigen, 1, 379, 4323409
eigen, 1, 380, 4223120
eigen, 1, 381, 4205176
eigen, 1, 382, 4260079
eigen, 1, 383, 4493047
eigen, 1, 384, 8333789
eigen, 1, 385, 3808259
eigen, 1, 386, 3759999
eigen, 1, 387, 3786639
eigen, 1, 388, 3857011
eigen, 1, 389, 3975936
eigen, 1, 390, 3884694
eigen, 1, 391, 3963050
eigen, 1, 392, 3967940
eigen, 1, 393, 3991875
eigen, 1, 394, 10567268
eigen, 1, 395, 4573679
eigen, 1, 396, 4816665
eigen, 1, 397, 4109286
eigen, 1, 398, 4172785
eigen, 1, 399, 4316816
eigen, 1, 400, 4301968
eigen, 1, 401, 4266341
eigen, 1, 402, 4566766
eigen, 1, 403, 8856872
eigen, 1, 404, 4838005
eigen, 1, 405, 5364756
eigen, 1, 406, 4579660
eigen, 1, 407, 4503498
eigen, 1, 408, 4705818
eigen, 1, 409, 4632690
eigen, 1, 410, 4623443
